id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5239172751427556,Qgr3R5Zn6,7732304899,津沽墨珂,#德国外长言论引争议#“台海有事就是德国有事”，果然法西斯国家都是同气连枝！这套路是不是很眼熟，没错，和日本那些跳梁小丑的调调一模一样。德国怕是忘了，1990年两德统一时，中国是最早站出来亮明支持态度的国家。当年联邦德国为推动统一，哪怕动过军事威慑的念头，我们也从未说过一句“不许改变现状”，始终尊重德国人民的选择。如今中国要解决自家台湾问题，德国反倒跳出来讲“规矩”，这不是典型的“自己喝汤不许别人吃肉”？双标玩得如此丝滑，脸皮厚度着实令人惊叹。更可笑的是，德国嘴上喊着“反对暴力”，身体却诚实得很。2021年，德国海军“巴登-符腾堡”号护卫舰穿南海、靠日本，这可是二战后首次把军舰开到亚太军事核心区，说它“挑事”都算客气；去年又跑到日本海，跟日本搞起反潜军演，一边把护卫舰技术塞给日本，转头就接住日本的坦克炮弹订单，军火生意做得热火朝天。一边卖武器赚黑钱，一边喊着“维护和平”，这演技，连好莱坞都得恭恭敬敬喊声“祖师爷”。德国凑台海这热闹，哪是为了什么“正义”，全是为了自己的钱包和靠山。2023年德台贸易额冲破300亿欧元，巴斯夫在台工厂是其全球电子化学品的“命门”，西门子更是攥着台湾高铁七成的运维生意——台海真有动静，这些企业的钱袋子就得瘪下去，它能不急？而最精的算计，是德国想拿台海当“投名状”。美国天天催欧洲盟友来亚太“站队”，德国把话说得这么满，无非是想换美国在俄乌冲突里帮它稳住能源供应。用亚太的事换欧洲的利，这笔账算得门儿清，却偏要把自己包装成“和平卫士”，虚伪得令人作呕。再看日本，野心比德国还直白。喊着“台湾有事”，实则是想借题发挥撕毁“和平宪法”。去年日本防卫预算砸了7.7万亿日元，首次突破GDP的2%，比北约标准还高；在冲绳架起反舰导弹，射程刚好罩住台海，又跑到菲律宾租军事基地，摆明了要在台海周边“架炮”，狼子野心昭然若揭。有意思的是，德国这出戏连欧盟自己人都不买账。马克龙早放话，欧盟不能被美国绑着去亚太“惹事”；意大利、西班牙等国更务实，生怕得罪中国断了生意，压根不愿跟着德国瞎闹。毕竟2023年中欧贸易额近9000亿美元，中国还是德国最大贸易伙伴——真把中国惹毛了，西门子、宝马的损失，谁来补？说到底，台湾是中国的家事，就像当年东西德统一是德国的家事。《开罗宣言》《波茨坦公告》早把台湾归属写得明明白白，轮不到任何外人指手画脚。德国外长的荒唐言论，本质上是把台湾当棋子，把自己当美国的“传声筒”，既忘了当年中国的支持，也找错了拿捏的对象。中国从不是任人拿捏的软柿子。东风导弹射程覆盖第一岛链，山东舰航母编队在台海周边常态化巡航，我们有足够实力捍卫国家统一。德国要是真敢把“台湾有事”和自己绑在一起，先掂量掂量：自家供应链扛不扛得住？欧盟的兄弟们会不会跟它一条心？看来，德国和日本两个法西斯还是有人想合流，挑战二战后建立的国际秩序。,,,,德国外长言论引争议,0,20,15,2025-12-01 22:33,vivo S17 Pro,https://wx4.sinaimg.cn/large/008rhXJ9ly1i7vrsgocnjj30gw0cc74r.jpg,,,,金V,超级会员,2
5239110805752195,QgprWo8pl,6279456501,绿之梦---向前冲,“台湾有事就是德国有事？”果然法西斯国家都是同气连枝！日前，德国外长瓦德富尔在接受路透社的采访时表示，虽然德国坚持一个中国政策，但绝不容忍任何通过暴力手段改变现状的行为。 这套路是不是很眼熟，没错，和日本那些跳梁小丑的调调一模一样。日本政客高市早苗前不久刚喊完“台湾有事就是日本存亡危机”，这边德国就跟着搭台，一边是欧洲老大哥放话撑腰，一边是亚洲小弟舞枪弄棒，这跨洋的一唱一和，怎么看都透着股二战轴心国的影子。德国忘了吗，当年两德统一时，中国可是第一个站出来支持的。1990年联邦德国用各种手段推动统一，哪怕动了军事威慑的念头，我们也没说过一句“不许改变现状”。现在中国要解决自己的台湾问题，德国倒先跳出来讲规矩，这不是典型的“自己喝汤不许别人吃肉”更可笑的是，德国嘴上喊着“反对暴力”，身体却很诚实。2021年，德国海军“巴登-符腾堡”号护卫舰穿南海、靠日本，这是二战后头一回把军舰开到亚太的军事心脏。去年又和日本在日本海搞反潜军演，把自己的护卫舰技术塞给日本，转头就收了日本的坦克炮弹订单，军火生意做得热火朝天。一边卖武器赚黑钱，一边喊着“维护和平”，这演技连好莱坞都得喊一声“祖师爷”。德国之所以凑这个热闹，根本不是为了什么“正义”，全是为了自己的钱包和靠山。2023年德台贸易额破了300亿欧元，巴斯夫在台湾的工厂是它全球电子化学品的命门，西门子占了台湾高铁七成的运维生意。要是台海真有动静，德国这些企业的钱袋子就得瘪下去，它能不急吗而最精的是，德国想拿台海当“投名状”。美国天天催欧洲盟友来亚太“站队”，德国把话说得这么满，就是想换美国在俄乌冲突里帮它稳能源供应。用亚太的事换欧洲的利，这笔账它算得很明白，可偏偏把自己包装成“和平卫士”。再看日本，野心比德国还直白。喊着“台湾有事”，其实是想借机会撕了“和平宪法”。去年日本防卫预算砸了7.7万亿日元，第一次超过GDP的2%，比北约的标准还高。在冲绳架起一堆反舰导弹，射程刚好能罩住台海，又跑到菲律宾租军事基地，摆明了要在台海周边“架炮”。有意思的是，德国这出戏连欧盟自己人都不买账。马克龙早就放话，欧盟不能被美国绑着去亚太“惹事”；意大利、西班牙这些国家更务实，生怕得罪中国断了生意，压根不愿跟着德国瞎闹。毕竟2023年中欧贸易额快到9000亿美元，中国是德国最大的贸易伙伴，真把中国惹毛了，西门子、宝马的损失谁来补说到底，台湾是中国的家事，就像当年东西德统一是德国的家事一样。《开罗宣言》《波茨坦公告》早就把台湾的归属写得明明白白，轮不到任何外人指手画脚。德国外长的荒唐言论，本质上是把台湾当棋子，把自己当美国的“传声筒”。可中国不是任人拿捏的软柿子。东风导弹的射程能覆盖第一岛链，山东舰航母编队能在台海周边常态化巡航，我们有足够的实力捍卫国家统一。德国要是真敢把“台湾有事”和自己绑在一起，先掂量掂量自己的供应链能不能扛住，欧盟的兄弟们会不会跟它一条心。#德国外长言论引争议##秒懂热点就用智搜##三分钟视频助燃计划#L绿之梦---向前冲的微博视频,,,,"德国外长言论引争议,秒懂热点就用智搜,三分钟视频助燃计划",3,22,45,2025-12-01 18:26,微博视频号,,"http://f.video.weibocdn.com/o0/8FieK0jNlx08tpAHOcIM01041201PlhN0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124435&ssig=SHKKImLQBu&KID=unistore,video",,,红V,超级会员,2
5239092585694774,QgoYynTtc,2145917613,北京日报都视频,#法国强调理解中方台湾问题立场#【#马克龙访华释放什么信号#】12月1日，中国外交部发言人宣布，应国家主席习近平邀请，法国总统马克龙将于12月3日至5日对中国进行国事访问。这是马克龙任内的第四次访华。这次访问的时机和背景更加特殊。先看行程细节。根据法国总统府消息，马克龙此次访华将在北京和成都这两座城市停留，并与中方领导人会晤。12月3日，马克龙与夫人布丽吉特将参观故宫乾隆花园。4日，马克龙将与中方领导人会谈并签署协议，协议重点落在“交通和能源”领域。法国总统外交顾问博纳表示，马克龙总统此行希望优化和更好地平衡法国与中国的关系，法国与欧洲愿意与中国保持紧密的合作关系。博纳还特别强调，马克龙总统希望与中国合作，实现“强劲、可持续、惠及所有人的增长”。法国在2003年轮值G7主席国，曾邀请中国参加峰会。2026年法国再次主持G7峰会，也将再度向中国抛出橄榄枝。法国总统府认为，中国参与世界重要会议，有利于大国合作，推动全球事务。再看看中法这对伙伴合作的底子。法国是第一个同中国正式建交的西方大国，经贸关系长期都是双边关系的压舱石。从贸易数据看，2024年双边贸易额达795.8亿美元，中国是法国在亚洲第一大贸易伙伴，法国则是中国在欧盟内的第三大贸易伙伴。传统领域里，核能、航空、农业的合作一直在深化。新兴赛道上，绿色能源的光伏风电项目、数字经济的跨境数据合作、人工智能的技术研发联盟，都在不断拓宽边界。值得注意的是，马克龙访华前，他的外交顾问博纳还特意与中国外交部长王毅通电话，强调法方坚持独立自主外交传统，坚定不移奉行一个中国政策，理解中方在台湾问题上的正当立场。马克龙访华，既是中法高层交往的延续，更是复杂国际格局下的战略对话。他带着谋求合作与平衡的议程来，足以说明中国在法国全球布局里的分量。就在马克龙宣布访华前，中美也释放出关键互动信号，特朗普宣布将于明年4月访华。从马克龙到特朗普的访华安排，我们能看到的是：西方发达国家的外交天平，正在基于经济理性发生倾斜，新兴经济体的崛起让全球治理走向多元化。无论是国家还是世界的发展，都变成一道需要合作共赢的多选题。而中国，正在成为这道多选题里越来越重要的选项。（国是直通车）L北京日报的微博视频,,,,"法国强调理解中方台湾问题立场,马克龙访华释放什么信号",0,0,1,2025-12-01 17:14,微博视频号,,"http://f.video.weibocdn.com/o0/jCCclDOKlx08tpvcQTbG01041200U9wO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124435&ssig=SaaOhiYwek&KID=unistore,video",,,普通用户,超级会员,1
5239092586742291,QgoYyshYD,1617264814,京报网_北京日报官方网站,#法国强调理解中方台湾问题立场#【#马克龙访华释放什么信号#】12月1日，中国外交部发言人宣布，应国家主席习近平邀请，法国总统马克龙将于12月3日至5日对中国进行国事访问。这是马克龙任内的第四次访华。这次访问的时机和背景更加特殊。先看行程细节。根据法国总统府消息，马克龙此次访华将在北京和成都这两座城市停留，并与中方领导人会晤。12月3日，马克龙与夫人布丽吉特将参观故宫乾隆花园。4日，马克龙将与中方领导人会谈并签署协议，协议重点落在“交通和能源”领域。法国总统外交顾问博纳表示，马克龙总统此行希望优化和更好地平衡法国与中国的关系，法国与欧洲愿意与中国保持紧密的合作关系。博纳还特别强调，马克龙总统希望与中国合作，实现“强劲、可持续、惠及所有人的增长”。法国在2003年轮值G7主席国，曾邀请中国参加峰会。2026年法国再次主持G7峰会，也将再度向中国抛出橄榄枝。法国总统府认为，中国参与世界重要会议，有利于大国合作，推动全球事务。再看看中法这对伙伴合作的底子。法国是第一个同中国正式建交的西方大国，经贸关系长期都是双边关系的压舱石。从贸易数据看，2024年双边贸易额达795.8亿美元，中国是法国在亚洲第一大贸易伙伴，法国则是中国在欧盟内的第三大贸易伙伴。传统领域里，核能、航空、农业的合作一直在深化。新兴赛道上，绿色能源的光伏风电项目、数字经济的跨境数据合作、人工智能的技术研发联盟，都在不断拓宽边界。值得注意的是，马克龙访华前，他的外交顾问博纳还特意与中国外交部长王毅通电话，强调法方坚持独立自主外交传统，坚定不移奉行一个中国政策，理解中方在台湾问题上的正当立场。马克龙访华，既是中法高层交往的延续，更是复杂国际格局下的战略对话。他带着谋求合作与平衡的议程来，足以说明中国在法国全球布局里的分量。就在马克龙宣布访华前，中美也释放出关键互动信号，特朗普宣布将于明年4月访华。从马克龙到特朗普的访华安排，我们能看到的是：西方发达国家的外交天平，正在基于经济理性发生倾斜，新兴经济体的崛起让全球治理走向多元化。无论是国家还是世界的发展，都变成一道需要合作共赢的多选题。而中国，正在成为这道多选题里越来越重要的选项。（国是直通车）L北京日报的微博视频,,,,"法国强调理解中方台湾问题立场,马克龙访华释放什么信号",0,0,8,2025-12-01 17:14,微博视频号,,"http://f.video.weibocdn.com/o0/jCCclDOKlx08tpvcQTbG01041200U9wO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124435&ssig=SaaOhiYwek&KID=unistore,video",,,普通用户,超级会员,1
5239092583597614,QgoYyf5U2,1697601814,长安街知事,#法国强调理解中方台湾问题立场#【#马克龙访华释放什么信号#】12月1日，中国外交部发言人宣布，应国家主席习近平邀请，法国总统马克龙将于12月3日至5日对中国进行国事访问。这是马克龙任内的第四次访华。这次访问的时机和背景更加特殊。先看行程细节。根据法国总统府消息，马克龙此次访华将在北京和成都这两座城市停留，并与中方领导人会晤。12月3日，马克龙与夫人布丽吉特将参观故宫乾隆花园。4日，马克龙将与中方领导人会谈并签署协议，协议重点落在“交通和能源”领域。法国总统外交顾问博纳表示，马克龙总统此行希望优化和更好地平衡法国与中国的关系，法国与欧洲愿意与中国保持紧密的合作关系。博纳还特别强调，马克龙总统希望与中国合作，实现“强劲、可持续、惠及所有人的增长”。法国在2003年轮值G7主席国，曾邀请中国参加峰会。2026年法国再次主持G7峰会，也将再度向中国抛出橄榄枝。法国总统府认为，中国参与世界重要会议，有利于大国合作，推动全球事务。再看看中法这对伙伴合作的底子。法国是第一个同中国正式建交的西方大国，经贸关系长期都是双边关系的压舱石。从贸易数据看，2024年双边贸易额达795.8亿美元，中国是法国在亚洲第一大贸易伙伴，法国则是中国在欧盟内的第三大贸易伙伴。传统领域里，核能、航空、农业的合作一直在深化。新兴赛道上，绿色能源的光伏风电项目、数字经济的跨境数据合作、人工智能的技术研发联盟，都在不断拓宽边界。值得注意的是，马克龙访华前，他的外交顾问博纳还特意与中国外交部长王毅通电话，强调法方坚持独立自主外交传统，坚定不移奉行一个中国政策，理解中方在台湾问题上的正当立场。马克龙访华，既是中法高层交往的延续，更是复杂国际格局下的战略对话。他带着谋求合作与平衡的议程来，足以说明中国在法国全球布局里的分量。就在马克龙宣布访华前，中美也释放出关键互动信号，特朗普宣布将于明年4月访华。从马克龙到特朗普的访华安排，我们能看到的是：西方发达国家的外交天平，正在基于经济理性发生倾斜，新兴经济体的崛起让全球治理走向多元化。无论是国家还是世界的发展，都变成一道需要合作共赢的多选题。而中国，正在成为这道多选题里越来越重要的选项。（国是直通车）L北京日报的微博视频,,,,"法国强调理解中方台湾问题立场,马克龙访华释放什么信号",1,0,5,2025-12-01 17:14,微博视频号,,"http://f.video.weibocdn.com/o0/jCCclDOKlx08tpvcQTbG01041200U9wO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124435&ssig=SaaOhiYwek&KID=unistore,video",,,普通用户,超级会员,2
5239092581501633,QgoYy6iDT,1703371307,北京晚报,#法国强调理解中方台湾问题立场#【#马克龙访华释放什么信号#】12月1日，中国外交部发言人宣布，应国家主席习近平邀请，法国总统马克龙将于12月3日至5日对中国进行国事访问。这是马克龙任内的第四次访华。这次访问的时机和背景更加特殊。先看行程细节。根据法国总统府消息，马克龙此次访华将在北京和成都这两座城市停留，并与中方领导人会晤。12月3日，马克龙与夫人布丽吉特将参观故宫乾隆花园。4日，马克龙将与中方领导人会谈并签署协议，协议重点落在“交通和能源”领域。法国总统外交顾问博纳表示，马克龙总统此行希望优化和更好地平衡法国与中国的关系，法国与欧洲愿意与中国保持紧密的合作关系。博纳还特别强调，马克龙总统希望与中国合作，实现“强劲、可持续、惠及所有人的增长”。法国在2003年轮值G7主席国，曾邀请中国参加峰会。2026年法国再次主持G7峰会，也将再度向中国抛出橄榄枝。法国总统府认为，中国参与世界重要会议，有利于大国合作，推动全球事务。再看看中法这对伙伴合作的底子。法国是第一个同中国正式建交的西方大国，经贸关系长期都是双边关系的压舱石。从贸易数据看，2024年双边贸易额达795.8亿美元，中国是法国在亚洲第一大贸易伙伴，法国则是中国在欧盟内的第三大贸易伙伴。传统领域里，核能、航空、农业的合作一直在深化。新兴赛道上，绿色能源的光伏风电项目、数字经济的跨境数据合作、人工智能的技术研发联盟，都在不断拓宽边界。值得注意的是，马克龙访华前，他的外交顾问博纳还特意与中国外交部长王毅通电话，强调法方坚持独立自主外交传统，坚定不移奉行一个中国政策，理解中方在台湾问题上的正当立场。马克龙访华，既是中法高层交往的延续，更是复杂国际格局下的战略对话。他带着谋求合作与平衡的议程来，足以说明中国在法国全球布局里的分量。就在马克龙宣布访华前，中美也释放出关键互动信号，特朗普宣布将于明年4月访华。从马克龙到特朗普的访华安排，我们能看到的是：西方发达国家的外交天平，正在基于经济理性发生倾斜，新兴经济体的崛起让全球治理走向多元化。无论是国家还是世界的发展，都变成一道需要合作共赢的多选题。而中国，正在成为这道多选题里越来越重要的选项。（国是直通车）L北京日报的微博视频,,,,"法国强调理解中方台湾问题立场,马克龙访华释放什么信号",3,0,2,2025-12-01 17:14,微博视频号,,"http://f.video.weibocdn.com/o0/jCCclDOKlx08tpvcQTbG01041200U9wO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124435&ssig=SaaOhiYwek&KID=unistore,video",,,普通用户,超级会员,2
5239092582547586,QgoYyaGK6,7542252663,北京质量报告,#法国强调理解中方台湾问题立场#【#马克龙访华释放什么信号#】12月1日，中国外交部发言人宣布，应国家主席习近平邀请，法国总统马克龙将于12月3日至5日对中国进行国事访问。这是马克龙任内的第四次访华。这次访问的时机和背景更加特殊。先看行程细节。根据法国总统府消息，马克龙此次访华将在北京和成都这两座城市停留，并与中方领导人会晤。12月3日，马克龙与夫人布丽吉特将参观故宫乾隆花园。4日，马克龙将与中方领导人会谈并签署协议，协议重点落在“交通和能源”领域。法国总统外交顾问博纳表示，马克龙总统此行希望优化和更好地平衡法国与中国的关系，法国与欧洲愿意与中国保持紧密的合作关系。博纳还特别强调，马克龙总统希望与中国合作，实现“强劲、可持续、惠及所有人的增长”。法国在2003年轮值G7主席国，曾邀请中国参加峰会。2026年法国再次主持G7峰会，也将再度向中国抛出橄榄枝。法国总统府认为，中国参与世界重要会议，有利于大国合作，推动全球事务。再看看中法这对伙伴合作的底子。法国是第一个同中国正式建交的西方大国，经贸关系长期都是双边关系的压舱石。从贸易数据看，2024年双边贸易额达795.8亿美元，中国是法国在亚洲第一大贸易伙伴，法国则是中国在欧盟内的第三大贸易伙伴。传统领域里，核能、航空、农业的合作一直在深化。新兴赛道上，绿色能源的光伏风电项目、数字经济的跨境数据合作、人工智能的技术研发联盟，都在不断拓宽边界。值得注意的是，马克龙访华前，他的外交顾问博纳还特意与中国外交部长王毅通电话，强调法方坚持独立自主外交传统，坚定不移奉行一个中国政策，理解中方在台湾问题上的正当立场。马克龙访华，既是中法高层交往的延续，更是复杂国际格局下的战略对话。他带着谋求合作与平衡的议程来，足以说明中国在法国全球布局里的分量。就在马克龙宣布访华前，中美也释放出关键互动信号，特朗普宣布将于明年4月访华。从马克龙到特朗普的访华安排，我们能看到的是：西方发达国家的外交天平，正在基于经济理性发生倾斜，新兴经济体的崛起让全球治理走向多元化。无论是国家还是世界的发展，都变成一道需要合作共赢的多选题。而中国，正在成为这道多选题里越来越重要的选项。（国是直通车）L北京日报的微博视频,,,,"法国强调理解中方台湾问题立场,马克龙访华释放什么信号",0,0,0,2025-12-01 17:14,微博视频号,,"http://f.video.weibocdn.com/o0/jCCclDOKlx08tpvcQTbG01041200U9wO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124435&ssig=SaaOhiYwek&KID=unistore,video",,,普通用户,非会员,0
5239092579143900,QgoYxCmKg,5443830966,bydcmp,#法国强调理解中方台湾问题立场#【#马克龙访华释放什么信号#】12月1日，中国外交部发言人宣布，应国家主席习近平邀请，法国总统马克龙将于12月3日至5日对中国进行国事访问。这是马克龙任内的第四次访华。这次访问的时机和背景更加特殊。先看行程细节。根据法国总统府消息，马克龙此次访华将在北京和成都这两座城市停留，并与中方领导人会晤。12月3日，马克龙与夫人布丽吉特将参观故宫乾隆花园。4日，马克龙将与中方领导人会谈并签署协议，协议重点落在“交通和能源”领域。法国总统外交顾问博纳表示，马克龙总统此行希望优化和更好地平衡法国与中国的关系，法国与欧洲愿意与中国保持紧密的合作关系。博纳还特别强调，马克龙总统希望与中国合作，实现“强劲、可持续、惠及所有人的增长”。法国在2003年轮值G7主席国，曾邀请中国参加峰会。2026年法国再次主持G7峰会，也将再度向中国抛出橄榄枝。法国总统府认为，中国参与世界重要会议，有利于大国合作，推动全球事务。再看看中法这对伙伴合作的底子。法国是第一个同中国正式建交的西方大国，经贸关系长期都是双边关系的压舱石。从贸易数据看，2024年双边贸易额达795.8亿美元，中国是法国在亚洲第一大贸易伙伴，法国则是中国在欧盟内的第三大贸易伙伴。传统领域里，核能、航空、农业的合作一直在深化。新兴赛道上，绿色能源的光伏风电项目、数字经济的跨境数据合作、人工智能的技术研发联盟，都在不断拓宽边界。值得注意的是，马克龙访华前，他的外交顾问博纳还特意与中国外交部长王毅通电话，强调法方坚持独立自主外交传统，坚定不移奉行一个中国政策，理解中方在台湾问题上的正当立场。马克龙访华，既是中法高层交往的延续，更是复杂国际格局下的战略对话。他带着谋求合作与平衡的议程来，足以说明中国在法国全球布局里的分量。就在马克龙宣布访华前，中美也释放出关键互动信号，特朗普宣布将于明年4月访华。从马克龙到特朗普的访华安排，我们能看到的是：西方发达国家的外交天平，正在基于经济理性发生倾斜，新兴经济体的崛起让全球治理走向多元化。无论是国家还是世界的发展，都变成一道需要合作共赢的多选题。而中国，正在成为这道多选题里越来越重要的选项。（国是直通车）L北京日报的微博视频,,,,"法国强调理解中方台湾问题立场,马克龙访华释放什么信号",0,0,0,2025-12-01 17:14,微博视频号,,"http://f.video.weibocdn.com/o0/jCCclDOKlx08tpvcQTbG01041200U9wO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124435&ssig=SaaOhiYwek&KID=unistore,video",,,普通用户,非会员,0
5239092287640995,QgoY4w3LR,7929482637,中国驻柬埔寨王国大使馆,【#王毅同法国总统外事顾问博纳通电话#】2025年11月27日，中共中央政治局委员、中央外办主任王毅应约同法国总统外事顾问博纳通电话。王毅表示，当前国际形势变乱交织，新问题、新挑战层出不穷，中法双方有必要保持经常对话，加强战略协调。两国元首的战略引领至关重要。双方应深化全方位互利合作，推动中法全面战略伙伴关系迈上新台阶，为维护多边主义、改革完善全球治理注入新动力，展现中法两国作为联合国安理会常任理事国的责任担当。希望法方推动欧盟奉行积极理性对华政策，坚持伙伴关系基本定位，通过对话协商妥处经贸分歧，推动中欧关系沿着正确轨道健康发展。王毅阐明中方在台湾问题上的立场，强调日本现职领导人发表涉台挑衅言论，公然开历史倒车，侵害中国主权和领土完整。中法作为安理会常任理事国和全面战略伙伴，应当共同维护二战胜利成果，在涉及对方核心利益问题上坚定相互支持。希望法方继续坚定恪守一个中国原则。博纳表示，马克龙总统期待很快访问中国，巩固深化两国元首的友谊，并就推进法中、欧中关系以及共同应对全球性危机进行深入战略沟通。相信此访将引领两国关系高质量发展，并为世界和平稳定作出新贡献。法方坚持独立自主外交传统，坚定不移奉行一个中国政策，理解中方在台湾问题上的正当立场。期待同中方增进相互信任，加强对话协作，共同应对全球治理及经济失衡等挑战。欧中关系健康发展至关重要，法方愿在良好法中关系基础上为欧中对话合作发挥积极作用。双方还就乌克兰危机交换意见。博纳介绍了法方立场。王毅表示，中方支持一切致力于和平的努力，支持达成全面、持久、当事各方都接受的和平协议，支持构建均衡、有效、可持续的欧洲安全架构，愿同法方就此保持沟通。#外长活动##跟我看外交#,,,,"王毅同法国总统外事顾问博纳通电话,外长活动,跟我看外交",1,0,4,2025-12-01 17:13,微博网页版,,,,,蓝V,非会员,0
5239085885293351,QgoNKmd2D,1893892941,北京日报,#法国强调理解中方台湾问题立场#【#马克龙访华释放什么信号#】12月1日，中国外交部发言人宣布，应国家主席习近平邀请，法国总统马克龙将于12月3日至5日对中国进行国事访问。这是马克龙任内的第四次访华。这次访问的时机和背景更加特殊。先看行程细节。根据法国总统府消息，马克龙此次访华将在北京和成都这两座城市停留，并与中方领导人会晤。12月3日，马克龙与夫人布丽吉特将参观故宫乾隆花园。4日，马克龙将与中方领导人会谈并签署协议，协议重点落在“交通和能源”领域。法国总统外交顾问博纳表示，马克龙总统此行希望优化和更好地平衡法国与中国的关系，法国与欧洲愿意与中国保持紧密的合作关系。博纳还特别强调，马克龙总统希望与中国合作，实现“强劲、可持续、惠及所有人的增长”。法国在2003年轮值G7主席国，曾邀请中国参加峰会。2026年法国再次主持G7峰会，也将再度向中国抛出橄榄枝。法国总统府认为，中国参与世界重要会议，有利于大国合作，推动全球事务。再看看中法这对伙伴合作的底子。法国是第一个同中国正式建交的西方大国，经贸关系长期都是双边关系的压舱石。从贸易数据看，2024年双边贸易额达795.8亿美元，中国是法国在亚洲第一大贸易伙伴，法国则是中国在欧盟内的第三大贸易伙伴。传统领域里，核能、航空、农业的合作一直在深化。新兴赛道上，绿色能源的光伏风电项目、数字经济的跨境数据合作、人工智能的技术研发联盟，都在不断拓宽边界。值得注意的是，马克龙访华前，他的外交顾问博纳还特意与中国外交部长王毅通电话，强调法方坚持独立自主外交传统，坚定不移奉行一个中国政策，理解中方在台湾问题上的正当立场。马克龙访华，既是中法高层交往的延续，更是复杂国际格局下的战略对话。他带着谋求合作与平衡的议程来，足以说明中国在法国全球布局里的分量。就在马克龙宣布访华前，中美也释放出关键互动信号，特朗普宣布将于明年4月访华。从马克龙到特朗普的访华安排，我们能看到的是：西方发达国家的外交天平，正在基于经济理性发生倾斜，新兴经济体的崛起让全球治理走向多元化。无论是国家还是世界的发展，都变成一道需要合作共赢的多选题。而中国，正在成为这道多选题里越来越重要的选项。（国是直通车）#日本最大在野党党首否认南京大屠杀#L北京日报的微博视频,,,,"法国强调理解中方台湾问题立场,马克龙访华释放什么信号,日本最大在野党党首否认南京大屠杀",0,0,12,2025-12-01 16:47,微博视频号,,"http://f.video.weibocdn.com/o0/jCCclDOKlx08tpvcQTbG01041200U9wO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124435&ssig=SaaOhiYwek&KID=unistore,video",,,普通用户,超级会员,4
